accuracy,precision,recall,f1_score,roc_auc,true_positives,true_negatives,false_positives,false_negatives,specificity,model,domain,domain_type
0.9813620071684588,0.5088652482269503,0.5694444444444444,0.5374531835205992,0.9789185840227146,287,25724,277,217,0.989346563593708,random_forest,FD002,source
0.9879364456649666,0.0,0.0,0.0,0.9854541521688422,0,10073,0,123,1.0,random_forest,FD001,target
0.9910922897196262,0.0,0.0,0.0,0.9901490192194818,0,13574,0,122,1.0,random_forest,FD003,target
0.9901998180804554,0.6333333333333333,0.2540106951871658,0.36259541984732824,0.9742985676026291,95,33652,55,279,0.9983682914528139,random_forest,FD004,target
0.9676664780230145,0.3466550825369244,0.7916666666666666,0.48217522658610273,0.9701137868323745,399,25249,752,105,0.9710780354601746,cnn,FD002,source
0.9020204001569243,0.10326086956521739,0.926829268292683,0.18581907090464547,0.9786897114478936,114,9083,990,9,0.9017174625235779,cnn,FD001,target
0.9614485981308412,0.04484304932735426,0.16393442622950818,0.07042253521126761,0.8789428681157565,20,13148,426,102,0.9686164726683365,cnn,FD003,target
0.9861506411196854,0.386046511627907,0.44385026737967914,0.4129353233830846,0.9073681358178033,166,33443,264,208,0.9921677989735069,cnn,FD004,target
0.9888700245236748,0.662015503875969,0.8472222222222222,0.7432550043516101,0.9959211733614641,427,25783,218,77,0.9916157070881889,lstm,FD002,source
0.9900941545704198,1.0,0.17886178861788618,0.30344827586206896,0.9978199791925448,22,10073,0,101,1.0,lstm,FD001,target
0.9910922897196262,0.0,0.0,0.0,0.9608502996326149,0,13574,0,122,1.0,lstm,FD003,target
0.9920190135265984,0.6746575342465754,0.5267379679144385,0.5915915915915916,0.9658976086625083,197,33612,95,177,0.9971815943275878,lstm,FD004,target
